country,secondary_enrollment,tertiary_enrollment,infant_mortality,life_expectancy,gdp_per_capita,gini_index,poverty_1.90_USD,high_tech_exports,rd_researchers,income_top_20_percent,slums,corruption,gov_effectivness,positive_affect,generosity,freedom
Georgia,92.14126166666667,45.9179069519043,9.940000000000001,72.741,4289.391975804648,37.760000000000005,6.37,2.954025124449001,1164.0105316666666,44.339999999999996,34.0999984741211,54,0.5480944246053696,0.4591952234506607,-0.2461370050907135,0.6943955600261689
Germany,86.93462375,68.33265141078405,3.3200000000000003,80.73536585365855,44876.24528774253,31.188888888888886,0.022222222222222223,16.878187087147005,4575.606432222222,39.44444444444444,0.00999999977648258,79.875,1.5884714245796203,0.7105887651443481,0.08468810897320508,0.8808697402477265
Ghana,55.25309285714286,14.78970548841689,39.9,62.58239999999999,1913.7532017164551,42.95,11.95,4.727820642676256,63.535335,48.45,34.69999980926515,43.875,-0.14389071986079216,0.6810901999473572,0.034650037763640285,0.7883513450622559
Greece,93.04042333333332,125.00014665391723,3.66,81.15634146341463,21083.06433602521,34.85,1.04,11.71438171824929,2864.00825875,41.25,3,43.75,0.3145609050989151,0.5714722096920013,-0.29405850172042847,0.480966317653656
Guatemala,43.121157777777775,20.424680233001702,24.380000000000003,73.00750000000001,3847.7092346408,48.3,8.8,5.3775984150831375,20.588965555555557,53.6,34.850000381469755,28.875,-0.6898386299610137,0.815030837059021,0.027073044143617154,0.8507753551006317
Guinea,31.117890000000003,9.791903066635127,68.89,59.287699999999994,796.7230217967253,31.650000000000002,29.65,2.359622844303943,NaN,39.85,47.53333282470703,26.125,-1.0842542886734008,0.6676239702436659,0.035425980614187814,0.7079688509305319
Haiti,NaN,NaN,57.739999999999995,62.270900000000005,1352.3652243094402,41.1,24.5,NaN,NaN,47.1,69.07500076293945,19.25,-1.8639239549636841,0.5537852744261423,0.26160261697239345,0.46277376678254867
Honduras,42.090998,21.727186626858188,16.93,74.3481,2247.1832552816004,50.45,15.919999999999998,2.3251835108781744,28.533,54.67,35.5,28.5,-0.6702102899551392,0.7914052963256836,0.039780188072472814,0.7524566113948822
"Hong Kong SAR, China",88.50357777777778,69.30435523986816,NaN,84.0890243902439,41236.843299947286,NaN,NaN,31.893561082337477,3497.2832644444443,NaN,NaN,75.875,1.8043678998947144,0.5699213998658317,0.1859783125775201,0.8378336429595947
Hungary,89.18276625,54.51122512817384,4.279999999999999,75.52926829268293,14208.612411783475,30.27,0.42000000000000004,19.43787770884329,2611.7853566666668,38.29,13.6000003814697,49.625,0.579764798283577,0.6097998917102814,-0.16147470995783805,0.6145877182483673
