country,technology,politics,education,health,happiness,economic,equality,poverty
Estonia,0.5792970107179303,1.254104781270914,1.017324375814332,0.8354458169116084,-0.14537750046039055,0.8672158723170436,0.7431591374984952,0.6203093743702701
Eswatini,-0.14957979587827128,-0.4051540234385543,-1.1630642227643104,-1.554132826853545,-0.33902816268125163,-0.20406631027870134,-2.30108628556388,-0.31891040558029915
Ethiopia,-0.839150052689259,-0.507139837210528,-1.3150974242640916,-0.8771570344053101,-0.2151520844191999,-1.5236446127723648,0.44093912406999325,-1.181902373421591
Fiji,-0.15342147537607714,-0.31591106519254514,0.5458607883001035,-0.18989179629363706,-0.10009897552925102,-0.02247205684927136,0.49065896100428147,0.8244988518571441
Finland,0.26233187170965433,2.229697307527292,1.393852500469516,1.0817083303000454,0.8171208048985749,1.497309522918144,1.32221131466228,0.6475677544758188
France,0.7948885823051663,1.4365168882743005,0.8641406956022745,1.1321868236710113,0.16758366772410038,1.3853382458137553,0.6538605172650247,0.647792103283272
Gabon,-0.6154844229342941,-0.6444546516444323,-0.642677845279078,-0.7047471261111065,-0.8907038083270242,0.3166231898033197,0.024715479983983338,0.24652254633940035
"Gambia, The",-1.1840814101773318,-0.6437912296541339,-1.2923697727677452,-1.006594627400578,0.9945676687779198,-1.394920577690806,-0.2701664711155344,0.032365927773967684
Georgia,0.029736908937548934,0.5749881300177411,0.5584175554035926,0.3981207515733361,-1.3701171390467344,-0.1645069734329725,0.045146957089932285,0.22489602003513398
Germany,0.47734451817998647,1.774958097101274,0.8487521547231793,1.030679386274193,0.71679252388616,1.4554205169379075,0.8593656806982879,1.0755482038111137
Ghana,-0.8447282501077714,-0.039621183664129346,-0.7208341791670307,-0.8874761709516296,0.26068452365547895,-0.721381137336481,-0.6170061975439602,0.07190897650355625
Greece,0.3113482749620779,0.1905755300268307,1.9653730765909163,1.0485927153757122,-1.6589885603280827,0.9341773994851493,0.47794948526246905,0.9893025365050326
Guatemala,-1.2811445824213363,-0.7061465204277766,-0.8627541947543242,0.09140672737296719,0.8624018604104999,-0.23948586011409206,-1.3711172123703488,0.14837456040272098
Guinea,-0.5400979338737013,-0.9782074341011704,-1.287866815328706,-1.73536172811297,0.0050538629276670926,-1.3260271889409572,0.7973713052815754,-0.634744482982026
Haiti,-0.6154844229342941,-1.553280441522455,-0.9399518281019834,-1.305244178545772,-0.5188245985354014,-0.9609525617085404,-0.3899895845524479,-0.9410548628782609
Honduras,-1.294677686914171,-0.7058656413304587,-0.8603308613811524,0.3392368250674985,0.5518719166908814,-0.6105614173176677,-1.5958635809577024,-0.044493550303773
"Hong Kong SAR, China",0.9600303468764223,1.781277823068264,0.8969746077738053,1.5354828978281714,0.35380694677096214,1.3970638013005265,0.4794095755740576,0.5385319799795822
Hungary,0.5596286084288016,0.4777900665887666,0.6506156575977917,0.6936714955282777,-0.8792767599491783,0.6618933044703099,1.010031602318848,0.7902645952925733
Iceland,0.6481579188695037,1.6886875055558783,1.044949311264669,1.1730284205576398,1.6043497933006738,1.6224686480030366,1.4050004395091302,0.6493345013345119
India,0.20379351876660412,-0.08943064302984169,-0.4117299619484277,-0.45667308515736965,-0.014292708896600753,-0.8154059279430804,0.1754734321959236,-0.11942737009094032
Indonesia,0.23656013783339797,-0.21835282524090885,-0.05134411571821128,-0.044071660525487305,1.547122575926438,-0.2789812546859855,-0.15354072218442638,0.3639261885209248
